text,label
"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees .",noHate
"Perhaps if a school district has only a few White families left , they could get together and each parent could teach the kids one day per week .",noHate
The parents who could n't teach on weekdays could teach on Saturday .,noHate
"Perry Ross Schiro , 19 , of Harnett County was charged yesterday with murder in the Sept. 21 shooting death of Emily Elizabeth Haddock .",noHate
"Nevermind, found the new page Knew it had to be a groid .... any report of rape ?",hate
Surprised it came back so fast ...,noHate
http://www.wral.com/news/local/story/1850536/,noHate
they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,hate
Good.,noHate
I hope they all starve .,hate
No white person should send a single penny or lift a single finger to help them .,hate
"He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children. ) .",hate
"He walks upright , and has human arms and legs .",hate
I 've seen negroes who look ( and undoubtedly act ) like him .,hate
I will respond until Armenian scum will stop,hate
Where a white woman can go about in public and not fear assault by muds .,hate
BTL,noHate
"OK, I have been through some of the other threads on this section about NS and watched a few videos on YT .",noHate
It has obviously been misunderstood and i would been keen to learn more .,noHate
I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,hate
When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,hate
If whites did have some knowledge and a little more recognition was put out there I think most of them would feel a little more pride of who they are and stick to the white race .,noHate
There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,hate
Can you give any examples of progress made by skinheads or the Klan ?,noHate
Black ``women''on London transport ...,hate
And then you need to avoid High Fructose Corn Syrup - bad for you and made from GM corn .,noHate
In the end the only safe thing to eat is grass if you are lucky enough to have your own garden ( or grow your own food if you have the space ) and hope to hell the government here does n't do chemical spraying .,noHate
"If not kept in check , we may very will be living in an actual Planet of the Apes soon .",hate
Racist attack by blacks on a young white girl in France .,noHate
"( If you click the video , the video comments are full of self-hating whites ) : YouTube - BAKA RAINFOREST PEOPLE YODELLERS",noHate
As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .,hate
Thanks.,noHate
"It is very hard for average Whites to see their own disenfranchisement , let alone realize that it is planned .",noHate
I can picture him as that baby monkey on the ' save the rainforest comercial or whatever,hate
"Thanks for saving the picture but the one I saw was a black guy looking at a laptop and a White girl sitting next to him , laughing and hanging on him also looking at the laptop but they did n't show what was on the laptop .",noHate
Its really sad how so many whites just don`t even care and there actually happy that this is coming to be .,noHate
"And her husband is Tom Brady , this good-looking White Nordic guy : Here 's a photo of them with their ( white ) children :",noHate
I have a dream - one of these days Black occupation of America will be history !,hate
"Pathological killers , they are .",hate
Jews have been poisoning wells since Biblical times .,hate
No wonder we are in such bad shape with this tribe in charge of the White House and Congress .,hate
The Jew represents the snake .,hate
All you need is to cut off it 's head and the rest of the problems will crumble away with ease,hate
"I hate to see such beautiful white females become victims of these sick , violent merciless animals .",hate
Separation is the only answer !,hate
White Americans and White Europeons have too few children .,noHate
While they are in prison the kikes should get the same food the regular prison population gets ...,hate
Who the hell cares if its not kosher ...,hate
"i've felt anger when i 've read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i 'm from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !",hate
We are more concerned about ZOG controlling US and Russia .,hate
"Why do n't White Europeans and Americans grow a set of balls , and deport these Black and brown animals from their countries ?",hate
What would you have done instead ?,noHate
"Ivan Ivanovich Shishkin , January 25 , 1832 March 20 , 1898 ( Иван Иванович Шишкин ) Felling of Forest , 1867 Landscape with a Lake At the Seashore , 1890 ( sketch ) Birch Grove , 1896 View at a Neighborhood of Petersburg , 1856 Swiss Landscape , 1866 Forest on the Eve of Thunderstorm , 1872 Oak Forest in a Grey day , 1873 ( sketch ) Swamp .",noHate
"Woodlands , 1890 Rain in an Oak Forest , 1891",noHate
The reasons : Alcoholism takes around 150000 lives every year .,noHate
Heart diseases - around 100000 per year .,noHate
"If I were in the audience , I 'd clap till my hands were numb .",noHate
Listening to this music brings back memories of all my visits to Russia and Ukraine .,noHate
Hispanic: A woman threw her 2 1/2-year-old granddaughter several stories to her death from a walkway at a shopping mall http://www.news4jax.com/video/25962136/index.html negro : -- Police arrested a 17-year-old who they said burglarized a home over the Thanksgiving weekend .,noHate
http://www.news4jax.com/news/25976955/detail.html,noHate
SEX: MALE RACE : BLACK D.O.B : 08-24-1950 HEIGHT : 5 ' 11 WEIGHT : 180 EYE : BROWN HAIR BLACK In Custody For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This dude looks like an olde version of Cornielious from `` Planet of the Apes '' !,hate
LOL,noHate
"I think it is January 6'th or 7'th , not the same as us .",noHate
Because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew - communist wanted .,hate
"Couple Befriend Negroid , Negroid Tries To Burn Down Couples Home - NNN Reporters Newsroom Forum Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire Reported by : Irika Sargent Last Update : 4/25 9 : 01 pm Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire | Local15tv.com , Mobile & Pensacola News , Entertainment , Videos , Business Search and Shopping This is what happens when you make friends with spearchuckers .",hate
"http://www.newnation.vg/forums/showthread.php?p=325910 Coach Accused Of Fondling Student Student 's Mother Alerts Deputies After Finding Note POSTED : Monday , March 8 , 2010 UPDATED : 9 : 42 am EST March 9 , 2010 * * * Pedophile Alert * * * Robert Bennett. http://www.clickorlando.com/educatio...82/detail.html",noHate
Shows some interesting statistics about the jew rats ...,hate
Have you ever heard about death mask of Franco ?,noHate
I must just say before this thread possibly dies that I have great fear that without action the cause will die along with the rise of multiculturatism,noHate
The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex,hate
"The only thing manipulated here are the minds of few foreigners , who reckon they can live amongest superiour , pagan blood .",hate
These are much more important in my estimation .,noHate
"Denmark : 2.3 ( 2001 ) , 1.1 ( 2002 ) , 0.9 ( 2003 ) , 0.6 ( 2004 ) . ( assuming population of 5.4 million ) Good job Denmark !",hate
Let 's see it get down to zero !,noHate
"Finland , however , used to be very low , but it 's now higher than Denmark and nearly as high as Norway .",noHate
"One day , brother ... one day .",noHate
i get what your saying and there are thousands of non irish here who will never contribute anything to this land .,hate
"unless you are a tourist or here the study for a year or two please just go back Russian , we dont need or want more slavs",hate
What a load of crap.Water are ye people for real Ireland is been taken over by non Irish and this rubbish .,hate
I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,hate
Reminds me of an old joke .,noHate
Im sorry that many people in my country are stupid .,noHate
Cheers,noHate
"I posted a thread in Stormfront Ireland the week before about english hooligans slashing an Irish mans throat , the thread dissappeared without explanation .",noHate
Watching those videos makes me feel like im going to explode with hatred for those creatures .,hate
"They have a few of their own shops , a food shop by the bus/train station and a clothes shop where they sell FUBU and other assorted gangsta rap crap .",noHate
This filth is a sectarian British song not an Irish folk song the sort of scum who wrote and admire this filth have no place on a WN forum yet alone an Irish forum,hate
well done at least someone is getting off their arse and taking action rather then sitting behind a computer being a cyber warrior.i hope others will follow suit,noHate
Its a disgrace my sister has been on the waiting list for 6 years and their giving away houses to these scumbags,hate
http://www.thepost.ie/post/pages/p/s...726-qqqx=1.asp,noHate
"No it is not a joke , we have a very high standard education system here in Ireland ..",noHate
It is as good as anywhere in the world ..,noHate
"Unfortunately , we missed out last year but this year s occasion will definitely make up for it .",noHate
"Regards , Draiodoir .",noHate
Is this true ?,noHate
"Lie, lie , lie !!!",noHate
"I love their darker hair , their skin , their eyes !",noHate
There is an active community here - you just need to get off the net to find it .,noHate
How could you begin to tell people that all this multi cultural stuff is wrong without being hated on by our fellow people ?,noHate
True story,noHate
put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,hate
"BTW Im led to believe that Football [ soccer ] was invented in Somalia , in about 1066 AD .",noHate
"I have to admit I do n't think I 've ever met a Briton ??? and I am English , so you must know something that I do n't know ??? , good for you .",noHate
"What I do know is that I live on a small Island and it seems that a lot of people from various countries in the world are willing to desert their homelands and their families just to come here , in my mind that tells me a lot about said people and their home countries , most of all it highlights their weaknesses of how their own countries have let them down and how they feel the need to feed off somebody elses country , how should we English interpret this without sounding rude ??? , locust ??? , parasite ??? , you tell me .",hate
Why would you want to see this pollution spread further into our gene pool ?,hate
Thank the Gods she has chosen to go with her own kind .,hate
Hacked website ?,noHate
today i had an assembly on diversity and how we should embrace other cultures and learn about them .,noHate
"So you advocate independence , just to join another sovereign Nation ( As Wales would be in this hypothetical scenario ) ?",noHate
Indeed.,noHate
The OP has gone to sunnier climes for a couple of weeks so I 'll close this now and explain to him on his return ....,noHate
Don't care much for football these days and sincerely hope that the team called England get a hiding but i will be wearing my new Serbia shirt during the tournament.COME ON SERBIA DO US PROUD !,noHate
No I will not be buying guns and bullets .,noHate
And it 's not my fault the BNP is run by a gangster .,noHate
ye i heard that one to. or ' we all came from Africa any way so why dose it matter ' ........ my answer ? ' we evolved to be better',hate
"Well , the warm weather is coming in and guess what , I now have to painstakingly endure all the offspring of these immigrants , Africans , foeigners ( Im putting them all because there is that many of them ) all playing out the front of the flats in the small garden area , screeching and shouting and their hyena pitched laughing .",hate
"Playing with their scooters , bikes and other NOISY toys right outside our windows .",noHate
There was not one white child amongst them .,noHate
I had to open the landing window earlier because the stench of their cooking was overpowering .,noHate
Thankyou all for allowing me to vent as I feel so angry .......,noHate
"Every time I see a black security guard they are either sat down or on the phone , they have no proffesionalism whatsoever .",hate
"Yes, more homosexual degeneracy foisted upon the silent majority .",hate
Absolutely ridiculous .,noHate
Hey I 'm not really new to browsing the forums but i 've only just got his account and have decided to become more active online and in day to day life .,noHate
Agree with Barrrytheanglosaxon with many points ... Oh !,noHate
"And one of thing I like in football , among football fans many white patriots Right wing ultras RUS - YouTube",noHate
"I cant understand why people in Britain loves so much to breed with non whites , it keeps me shocking when i go there .",noHate
I have never seen such thing in any other country .,noHate
It 's a pleasure to make your acquaintance Madam .,noHate
"Yeah, we could do with the same amount of black rapists as the Nordic countries are privileged enough to have .",hate
First I 'm not from Moldavia ...,noHate
"Budapest 1919 , Trianon 1920 , ring a bell ? 2013 , our military is still vastly superior to yours as it has always been !",noHate
The girl is indeed amazing .,noHate
We could have so much more sports medals if our politicians and authorities were not such greedy bastards ...,noHate
Hi everyone .... I 'm from Slovenia and I utterly hate every living muslim in this world ....... and I despise even the dead ones,hate
we had somebody there to monitor this protest they had around 13 people there despite their claims that they usually have hundreds at their demos .,noHate
"Besides that , there 's the Transnistria issue to be solved and the hard fact that Romania simply does not have the economical power to accomplish such a re-unification .",noHate
"In fact , this year this `` event '' is going to be this weekend .",noHate
"All of ukraine is Russia/Poland/Romania , you fake ukrainians .",hate
"http://www.krepublishers.com/02-Jour ... sey-K-Text.PDF `` Molecular genetic methods supported our observations , that there is a relatively small difference between the Hungarian and Indian groups , the Central - Europeans differ more '' .",noHate
"Source : © Kamla-Raj 2006 Int J Hum Genet , 6 ( 3 ) : 177-183 ( 2006 ) Human Chromosomal Polymorphism in a Hungarian Sample Kata Décsey1 , Orsolya Bellovits2 and Györgyi M. Bujdosó2 1 .",noHate
"Like it or not , and I certainly do n't , but Ireland , especially NI is littered with memorials to , and even statues of , red terrorists .",hate
Top ten movies banned in Ireland Ten movies that the Irish censors blocked from Ireland 's cinemas Top ten movies banned in Ireland | IrishCentral,noHate
I stumbled n this by accident Absolute savages and yet you will have all the liberal women saying how great multiculturalism is and we are all the same Le TÃ © lÃ © gramme - France - Montpellier ( 34 ) .,hate
Hopefully they do n't get intimidated by the enemies of our land and of our freedom - those antifa scum .,hate
"A genius , are n't you ?",noHate
The powers that be want all Whites dumbed down with Negro blood .,hate
They all need to be sent back to Afreka along with the Joos that control our politicians .,hate
Liberia Awaits,noHate
Have you slavs that live in the West ever seen these Western Devils and their obsession with American football .,noHate
I hope my negroes beat your negroes .,noHate
I 'm planning to have a little gathering to remember the good old days .,noHate
First kiss was behind the church door in third grade .,noHate
30 years later we got married .,noHate
I so hope that coon got life in jail or the death penaltyYou did and are doing the best you can nobody can ask for more .,hate
"Come on guys , help her show her kids the right way .",noHate
"A lot there are old , but I have lots of new ones I 'll be adding soon .",noHate
"I think I will post one , I placed my profile on Eurodate a few days ago .",noHate
So I 'll use the same one for the most part .,noHate
Everyone on my MSN gets all manner of pics ( ) but I 've never put any up here so here goes Some pics from about a year ago and a small anigif from a week ago heh Robin,noHate
"Contact me , we 'll have a holiday ... - cheers .",noHate
"If so , email me or PM me .",noHate
Jeremy WPWW,noHate
i saw it on opp.now i know what your name stands for.congrats you have a nice looking boyfriend.i read opp once and awhile to see if they took my pic off of here yet and put it on there .,noHate
"DuetschGirlTX, No I live in a tiny ass town where i am only one of 100 white folks ( maybe less ) . near San Antonio. there are so many dirts around and they all stick together. so when it comes to a White Girl in this town i gotta have my own back ALWAYS Is that where you are ?",hate
"He never mentioned anything about the lack of white women on Stormfront .... He is looking for Proud , White Women in Florida",noHate
"I live in CT. and if you want to reply , my email address is bclaw23@hotmail.com ~ EuroCatB ~",noHate
Hiring someone from this website should ensure we do n't hire undesirables .,hate
All I ask is to PLEASE be careful when responding to threads like this .,noHate
NEVER be the first one to offer information about yourself or job history to ANYONE on the net .,noHate
Worker .,noHate
looking for proud white female in ohio for friends and maybe more .,noHate
"Wow, in just two hours you found your white knight .",noHate
Good luck to you and your knight,noHate
i think this was one of the first forums i posted in too. i do n't think it 's a standard by which to judge someone. mike,noHate
heil sisters and brothers lit see if this makes it I do n't care about looks I 'm a happy puppy if you are WHITE PRIDE thin you are right. if you are skin or kkkk or A.N or what ever you are We are family in this war for are gods and race stand tall and be proud to be a ARYAN 88 Goldenboy 88,noHate
Finally going to make it up there in the end of the summer !,noHate
From Norway to the Fareo Islands and then onto Iceland .,noHate
"I cant judge because i dont know them all , plus i think they are all good in their own way , that 's why they are moderators",noHate
"Tom, follow the links following this message if want to be prouductive ; otherwise we have to delete the messages of those who spread the message of non-community and defeat .",noHate
I'd rather do that than just pack up and leave my country .,noHate
"BTW you are not wrong about Mildura , I went through there in mid 2000 and there was n't a non-White in sight but late last year when I went through there all I saw were islanders , indians , asians , and whatever other crap little johnnie could get dumped into the country .",hate
Always a need to keep the military spear sharp .,noHate
That 's why we need to keep in touch and stay organized .,noHate
"88 all , this is my first post and i 've read this whole thread so i guess I have a few comment 's , let 's start , shall we ?",noHate
"WhiteByP-I 'm not sure if SWP is a group or what , but I know a few people that sport that , maybe we could talk some .",noHate
"Oragus-I live in San Bernardino , send me a pm ? evllzrd1-out by ontario mills eh ?",noHate
"I 'm lame , I know , but just thought I could get that all out in one setting , 88 ! 2508",noHate
I 'm going to carefully study it so hopefully I 'll have some decent input to contribute .,noHate
"Shoe Bombers , crotch bombers , 9/11 and Israel has now been seen over 203,000 times ( in less than 2.5 months ) .",noHate
"YouTube - Shoe Bombers , crotch bombers , 9/11 and Israel",noHate
This is definitely the most informal thread I have read about the jewish problem one thing I dont understand is the fact that most jews seem pretty white and the bible says king David had red hair is there a difference in the dna of most jews and europeans or is it mainly a just their condensening holier than thou attitude .,noHate
They have caused their own hate from the nations by their hate for everyone else .,hate
I just came in from my night job or I 'd look around a bit more .,noHate
I would also die for the chance for our people to have a living space .,noHate
hahahahahaha!,noHate
In order to publish someone 's name openly on a SF Forum you will need their permission first .,noHate
I have a flyer at home that has the symbols to look for so once I return home I can get that info out 2 you .,noHate
The Jewish race is without any doubt the greatest threat to the survival of the White race .,hate
i am a white nationalist of a christian faith but still am a white nationalist for racial survival the anti racist christians are the true chirstians ememy,hate
Both Asians and whites are composed and calm and blacks seem to have no self control .,hate
"Well, maybe they 're slowly working their way to destroying Eastern Europe .",hate
It 's obvious the International Jew has big plans for Ukraine now .,noHate
Mexicans have plenty of open space in their countries to develop they do n't need ours .,hate
Its funny how the unregistered members or the open forum members try to rationalize their thoughts,noHate
Same with all of Europe after the evil yellow invasion .,hate
Not to mention that its a business in jails among the gangs too .,noHate
"A powerful gang member who may not rape , may sell a new prisoner to someone that does .",noHate
"Here , chew on this : Violence mars May Day rally in Seattle They just come here `` seeking a better life ( hand-out ) '' ..........",noHate
"Exactly, they want us to lay down and die .",hate
"By their words and deeds , they declare themselves to be staunchly in favor of the genocide of our people .",hate
"The problem is in blacks ' heads , but hey , you have already known that .",hate
And I wonder how many of those couples regret crossing the color line ?,noHate
Lots of whites recover from a case of jungle fever to find that they 've done irreparable damage to their lives .,noHate
"It makes my skin crawl to hear her drunkenly yelling at her kids about how much she hates them and their father , using every racial epithet I 've ever heard .",noHate
"Gay marriage has no place in any society , regardless of your race and culture.It destroys , morals , values , and the future of your offspring that will keep your race and culture alive.Regardless of your race and culture , homosexuality and gay marriage is the genocide of mankind .",hate
"Yes, it 's just skin color .",noHate
Does it surprise you that those White hating non-whites still want to live in White countries made GREAT by White people and brought low by non-whites ?,hate
I do n't know if this is the case of the Seal but I like to believe that one day there will be no want or need to slaughter animals on a large scale like we currently do .,noHate
They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . '',hate
"It 's not a coincidence that they attack in packs and side with the herd on every ethical question ; they 're inferior and they know it , ill-suited to standing up alone or thinking through a complex scenario to settle upon an internally consistent position .",hate
"They instead decide by convenience , low risk , and unenlightened self-interest .",hate
Want a libtard to oppose abortion ?,hate
Want a libtard to support White Nationalism ?,hate
Tell them we 'll legalize drugs and pedophilia .,hate
"Dear Farhard-On , ...................... / ´ ¯ / ) .................... , / ¯ .. / ................... / .... / ............. / ´ ¯ / ' ... ' / ´ ¯ ¯ ` · ¸ .......... / ' / ... / .... / ....... / ¨ ¯ \ ........ ( ' ( ... ´ ... ´ .... ¯ ~ / ' ... ' ) ......... \ ................. ' ..... / .......... ' ' ... \ .......... _ . · ´ ............ \ .............. ( .............. \ ............. \ ...",noHate
"They should build a PLA , but actually do so inside Africa .",noHate
The Black race is yet to invent any kind of civilization .,hate
Any kind of civilization Negroes have today is a gift from the White race .,hate
What does any of that have to do with racial preservation and the resistance to the deliberate and calculated extermination of the White race and the destruction of western civilization which 99 % of the members of this site are concerned with ?,noHate
They almost always choose to identify with blacks more than whites .,noHate
"The core of White Nationalism is based on the preservation of European Identity , history , culture etc .",noHate
"The White race is best because when the Creator made Whites , He made them better than He made the other races .",hate
What about Asians ...,noHate
Light skin but dark hair ...,noHate
How about native americans ?,noHate
"Liberals will have you believe it is so they can blame Whitey but it 's all such a mixed hell hole , all that breeding with arabs ....",hate
I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,hate
"Free diaper bag , changing pad , formula samples/coupons , and other nice stuff .",noHate
Breastfeeding moms can throw the formula stuff away or give it to a shelter .,noHate
Here 's the link : http://apps.meadjohnson.com/forms/jsp/Efb/Efb.do ?,noHate
I went to party school in liberal farts .,noHate
Guess who picked Canada 's first batch of refugees from Turkey ?,noHate
#NAME?,noHate
That's why I did n't display it .,noHate
exactly.,noHate
"We are a civil rights movement for the 21st century , we are on the righteous path of freedom and no one will stop us from bringing true equality and diversity of thought to the educational field .",noHate
Glory To all our Valiant British Brothers & Sisters !,noHate
Public school teachers ( ~ 70 percent white even in CA ) actually buy into this .,noHate
I think you will probably run out of places to run and hide if you do n't attempt to make some sort of stand where you are .,noHate
Teachers care less and tend to chalk it up to rebellion .,noHate
"As far as I understand , public school teachers are more restricted than university professors .",noHate
Stay away from Alberta .,noHate
All of our tim hortons are staffed by those nast filipinos and every single town is full of Indians and asians .,hate
"Yes indeed it is , and yes he is a jew .",noHate
LOL Tim,noHate
"We need to deport all nonwhites immediately , that or stop letting more in and sterilize the ones here , that will fix the problem .",hate
Yep!,noHate
"I honestly hate Indians , Muslims , really anything with brown , black or yellow coloured skin I hate .",hate
"Found along Orion 's sword just north of the bright Orion Nebula complex , these reflection nebulae are also associated with Orion 's giant molecular cloud about 1,500 light-years away , but are dominated by the characteristic blue color of interstellar dust reflecting light from hot young stars .",noHate
"Taken together , the dark regions suggest to many the shape of a running man .",noHate
"Yeah, hay rides are popular here .",noHate
Which one are you ?,noHate
"I need to get this done too , but my luck I 'll find out my great-grandfather was an IDF General .",noHate
Mr Irving played a fundamental role in my own journey through Holocaust revision and for that he will always have my gratitude .,noHate
"Because they are essentially child-like and until someone steps up and says something they will just carry on , again like children .",hate
"no doubt thats a lovely gun , if i had the money im looking at a benelli as my next shot gun ... also the price of single shot shot guns have gone sky high",noHate
http://www.the-armory.com/shopsite_s...mmunition.html,noHate
"You can go straight into a community college without GED , you just have to pass the tests .",noHate
And you will have to teach alot of lies to the students .,noHate
Then it back to getting the gun and shooting .,noHate
Everything thinks they are banning all 556/223 and hoarding all of it .,noHate
I grew up near Little Italy ( not NY ) and parents grew up in Brooklyn .,noHate
By the time I was growing up in the 2000s and early 2010s the area was already mixed and a few shops closed down .,noHate
Honestly if they ever fired them I 'd expect they 'd do more damage to themselves since the average negro lacks the intellect for basic firearms training .,hate
I 'm surprised they 're not holding the gun back to front .,hate
It just does n't hold my attention .,noHate
"On the other hand , I did n't ride horses or bulls , but I love to watch the rodeo .",noHate
At HD ranges youre looking at a cluster of shot a few inches wide at best .,noHate
Every cultured society and all things therein were created by whites .,hate
They love art and high culture .,noHate
Now it is also the largest American owned brewery .,noHate
he's obviously a good christian white boy with good values .,noHate
It 's wasted on a groid but I understand his need to uphold his principles .,noHate
Do what you can to help keep Stormfront alive and growing .,noHate
Is that a problem ?,noHate
mommy told me never to squelch on someone 's claims. the very fear of exposure makes me want to avoid lying .,noHate
I see it as a martial art yes but more as a system of life that includes martial arts and various forms of military skills,noHate
Truly sad that we 've decreased education standards to make minority students more successful .,noHate
"Instead of challenging young white minds , we put them to sleep in a sea of apathy towards standards .",noHate
If not ...,noHate
I wonder why the Jewish Media always pretends that all the blood thirsty third world savages are victims and it is all Whitey 's fault ?,hate
"If a third world savage attacks a Jew , is it all Jewey 's fault ?",noHate
I have : 1 Sister with Grey Eyes 1 Sister with Blue Eyes 1 Sister with Green Eyes me and my Brother have Blue Eyes !,noHate
"Though I am not a Christian , I can read it alongside the English and try to figure out words I do n't know .",noHate
I was gonna suggest an old Marlin 783 but then I remembered that it 's a .22 Mag .,noHate
"This is why it is important for us to join together as one group , organize and prepare to fight as an army .",noHate
She would let the kids come over and play with her dog or watch cartoons and she gave them them her old toys .,noHate
"After a week or two , one of the kids asks `` are you jewish ?",noHate
"My mom says I ca n't play here any more if you 're not jewish . """,noHate
-Strict religious education at temple - Their ' sunday shool ' equivalent .,noHate
That is a good article .,noHate
I live in a city where a 70 year old house starts at 400k .,noHate
It puts a warm smile on my face every year .,noHate
"Homosexuals ca n't undo the fight against White Genocide , only hypocrites can , I 'd rather have openly homosexual men on our side than closet fags or sexual deviants who skulk about pretending to be something they 're not .",hate
Just saw this one in Palm Springs ....,noHate
It 's really large .,noHate
"Dude stink bomb this event , when it gets dark , chuck a bunch of them on the floor , different spots , when the chimps start jiving and grooving , they will step on them .",hate
Faggots are always pushing their homosexual agenda .,hate
Even the queers in small towns have been emboldened to go out and peddle the homosexual agenda .,hate
2 ) Lethargic [ syn. inactive ],noHate
"In high school i got all kinds of hell for having an article on Rudolph Hess , and this was before i was even a WN .",noHate
That is great .,noHate
"We need more of our kids on the honor role and in college , crowding out the non-W 's !",hate
Some Universities have a substantial number of lectures available for free online .,noHate
her is another relatively good maths resource http://www.youtube.com/user/khanacademy the videos cover a wide range of topics. ( i know ... ' khan ' .... but what ever helps ),noHate
They will eventually kill off the whites and go back to the jungle ways .,hate
I'm not really surprised - now going to college with blacks I can tell you they continue to behave in such a manner even in higher education .,hate
They always think they are somehow exempt from the rules,hate
"They 're actually teaching this , in some places ?",noHate
"I'm too lazy to reread , did he say ' Teacher `` or '' Teacher 's asst . "" ?",noHate
I 'm going off to college in about 6 months and i 'm wondering how you college guys prepared for it/payed for it. any tips ?,noHate
That is only when they began speaking English as a majority .,noHate
[quote=Holston;7597407] God is the one that claims to be merciful and not like nature .,noHate
Stocking up on canned goods is still a top priority .,noHate
I must fall under the Alpine grouping as well .,noHate
My mother has dark brown hair and striking green eyes .,noHate
I bet this Negro is planning for an insanity defense and he may just get it .,noHate
This Negro got found not guilty by an insanity defense .,noHate
"Help pass out the NA `` LOVE YOUR RACE '' flyers , that will be a big help .",noHate
